REGNE	PHYLUM	CLASSE	ORDRE	FAMILLE	GROUP1_INPN	GROUP2_INPN	CD_NOM	CD_TAXSUP	CD_SUP	CD_REF	RANG	LB_NOM	LB_AUTEUR	NOM_COMPLET	NOM_COMPLET_HTML	NOM_VALIDE	NOM_VERN	NOM_VERN_ENG	HABITAT	FR	GF	MAR	GUA	SM	SB	SPM	MAY	EPA	REU	SA	TA	TAAF	PF	NC	WF	CLI	URL
Animalia	Chordata	Aves			Chordés	Oiseaux	185961	185694	838098	185961	CL	Aves		Aves 	Aves	Aves 	Oiseaux	birds		P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P		
Animalia	Chordata	Aves	Accipitriformes		Chordés	Oiseaux	819756	185961	185961	819756	OR	Accipitriformes		Accipitriformes 	Accipitriformes	Accipitriformes 				P	P	P	P	P	P	P	P		P				P	P	P		
Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Chordés	Oiseaux	186053	819756	819756	186053	FM	Accipitridae	Vigors, 1824	Accipitridae Vigors, 1824	Accipitridae Vigors, 1824	Accipitridae Vigors, 1824				P	P	P	P	P	P	P	P		P				P	P	P		
Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Chordés	Oiseaux	186051			186053	SBOR	Accipitri		Accipitri 	Accipitri	Accipitridae Vigors, 1824				P	P	P	P	P	P	P	P		P				P	P	P		
Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Chordés	Oiseaux	186052			186053	SPFM	Accipitroidea		Accipitroidea 	Accipitroidea	Accipitridae Vigors, 1824				P	P	P	P	P	P	P	P		P				P	P	P		
Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Chordés	Oiseaux	188728	186053	186053	188728	GN	Accipiter	Brisson, 1760	Accipiter Brisson, 1760	<i>Accipiter</i> Brisson, 1760	Accipiter Brisson, 1760		hawks		P	P					P	P							P			
Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Chordés	Oiseaux	441604	188728	188728	441604	ES	Accipiter bicolor	(Vieillot, 1817)	Accipiter bicolor (Vieillot, 1817)	<i>Accipiter bicolor</i> (Vieillot, 1817)	Accipiter bicolor (Vieillot, 1817)	Épervier bicolore 		3		P																https://inpn.mnhn.fr/espece/cd_nom/441604
Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Chordés	Oiseaux	645315	188728	188728	645315	ES	Accipiter cooperii	(Bonaparte, 1828)	Accipiter cooperii (Bonaparte, 1828)	<i>Accipiter cooperii</i> (Bonaparte, 1828)	Accipiter cooperii (Bonaparte, 1828)	Épervier de Cooper		3							Q											https://inpn.mnhn.fr/espece/cd_nom/645315
Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Chordés	Oiseaux	698711	188728	188728	698711	ES	Accipiter efficax	Balouet & Olson, 1989	Accipiter efficax Balouet & Olson, 1989	<i>Accipiter efficax</i> Balouet & Olson, 1989	Accipiter efficax Balouet & Olson, 1989			3	A	A	A	A	A	A	A	A	A	A	A	A	A	A	Z	A	A	https://inpn.mnhn.fr/espece/cd_nom/698711
Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Chordés	Oiseaux	441605	188728	188728	441605	ES	Accipiter fasciatus	(Vigors & Horsfield, 1826)	Accipiter fasciatus (Vigors & Horsfield, 1826)	<i>Accipiter fasciatus</i> (Vigors & Horsfield, 1826)	Accipiter fasciatus (Vigors & Horsfield, 1826)			3															P			https://inpn.mnhn.fr/espece/cd_nom/441605
Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Chordés	Oiseaux	432708	441605	441605	432708	SSES	Accipiter fasciatus vigilax	(Wetmore, 1926)	Accipiter fasciatus vigilax (Wetmore, 1926)	<i>Accipiter fasciatus vigilax</i> (Wetmore, 1926)	Accipiter fasciatus vigilax (Wetmore, 1926)	Autour australien, Émouchet gris	Brown Goshawk	3															P			https://inpn.mnhn.fr/espece/cd_nom/432708
Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Chordés	Oiseaux	441606	188728	188728	441606	ES	Accipiter francesii	A. Smith, 1834	Accipiter francesii A. Smith, 1834	<i>Accipiter francesii</i> A. Smith, 1834	Accipiter francesii A. Smith, 1834	Épervier de Mayotte		3								P										https://inpn.mnhn.fr/espece/cd_nom/441606
Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Chordés	Oiseaux	459459			441606	ES	Accipiter francesiae	Smith, 1834	Accipiter francesiae Smith, 1834	<i>Accipiter francesiae</i> Smith, 1834	Accipiter francesii A. Smith, 1834	Épervier de Mayotte		3								P										https://inpn.mnhn.fr/espece/cd_nom/459459
Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Chordés	Oiseaux	418715	441606	441606	418715	SSES	Accipiter francesii brutus	(Schlegel, 1866)	Accipiter francesii brutus (Schlegel, 1866)	<i>Accipiter francesii brutus</i> (Schlegel, 1866)	Accipiter francesii brutus (Schlegel, 1866)	Épervier de Frances		3	A	A	A	A	A	A	A	E	A	A	A	A	A	A	A	A	A	https://inpn.mnhn.fr/espece/cd_nom/418715
